rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.9318477153778075,10.69942016,1.5576941967010498,4.747860980375087
16,32,3686400,4.46173187494278,10.115310592,1.5160831212997437,4.55435137131404
64,128,14745600,3.9561155716578167,11.483530752,1.476814866065979,4.378975820309134
